item-57,PAGAMENTO RATEALE - INSTALMENT PAYMENT - VLD,Venice,Triathlon,2018-06-02T22:00:00,2018-06-03T21:59:59
item-58,CHALLENGE VENICE,Venice,Triathlon,2018-06-02T22:00:00,2018-06-03T21:59:59
item-59,2018 USA Shooting Stars (Italy),Lipomo,Basketball,2018-07-09T00:00:00,2018-07-18T23:59:00
item-60,Milan Junior Camp Lignano Sabbiadoro Session 7,Lignano Sabbiadoro,Soccer,2018-07-29T00:00:00,2018-08-04T23:59:00
item-61,Milan Junior Camp Jesolo Lido Day Camp Session 5,Jesolo Lido,Soccer,2018-07-15T00:00:00,2018-07-21T23:59:00
item-62,Milan Junior Camp Gallio Day Camp Session 5,Gallio,Soccer,2018-07-15T00:00:00,2018-07-21T23:59:00
item-63,Original Gram Curt,Centro città,Running,2018-05-18T23:00:00,2018-05-19T22:59:59
item-64,Befana Run 4 Fun,Urbania,Distance running,2018-01-05T23:00:00,2018-01-06T22:59:59
item-65,Milan Junior Camp Cortina D'Ampezzo Session 4,Cortina d'Ampezzo,Soccer,2018-07-08T00:00:00,2018-07-14T23:59:00
item-66,Milan Junior Camp Cortina D'Ampezzo Day Camp Session 1,Cortina d'Ampezzo,Soccer,2018-06-17T00:00:00,2018-06-23T23:59:00
item-67,Milan Junior Camp Jesolo Lido Session 5,Jesolo Lido,Soccer,2018-07-15T00:00:00,2018-07-21T23:59:00
item-68,Milan Junior Camp Cortina D'Ampezzo Session 2,Cortina d'Ampezzo,Soccer,2018-06-24T00:00:00,2018-06-30T23:59:00
item-69,Military crossXrace-10 KM - GIC (Group Iron Cross) 4 unità,Cesano - Roma,Other endurance,2018-03-23T23:00:00,2018-03-24T22:59:59
item-70,Military crossXrace-10 KM - IC (Iron Cross) individuale non competitivo,Cesano - Roma,Other endurance,2018-03-23T23:00:00,2018-03-24T22:59:59
